,address,categories,city,country,latitude,longitude,menus max amount,menus min amount,menus name,postal code,postalCode,province
136,555 Soquel Ave,"Caterers,Restaurants,Take Out Restaurants,Italian Restaurants,Fast Food Restaurants,Mediterranean Restaurants,Seafood Restaurants,Italian Restaurant",Santa Cruz,US,36.97572,-122.01743,5.99,5.99,Mini Pizza,Ristorante Italiano,95062,CA
137,11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.79,8.79,Artichoke Chicken Pizza,Zios Italian Kitchen - Olathe,66062,KS
138,11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.79,8.79,Barbecue Chicken Pizza,Zios Italian Kitchen - Olathe,66062,KS
139,11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.99,8.99,California Pizza,Zios Italian Kitchen - Olathe,66062,KS
140,11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.79,8.79,Chicken Club Pizza,Zios Italian Kitchen - Olathe,66062,KS
141,11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.79,8.79,Margherita Pizza,Zios Italian Kitchen - Olathe,66062,KS
142,11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.79,8.79,Pepperoni Pizza,Zios Italian Kitchen - Olathe,66062,KS
143,11981 S Strang Line Rd,Italian Restaurant,Olathe,US,38.90896786,-94.76871014,8.59,8.59,Pizza Mia,Zios Italian Kitchen - Olathe,66062,KS
144,378 Broad St,"American Restaurants,Bars,Pizza,Italian Restaurants,Mediterranean Restaurants,Night Clubs,Taverns,Bar & Grills,Family Style Restaurants,Restaurants,Northern Nj,Pub",Bloomfield,US,40.806263,-74.192924,17.0,17.0,Cheese Steak Pizza,Town Pub,7003,Grove
145,378 Broad St,"American Restaurants,Bars,Pizza,Italian Restaurants,Mediterranean Restaurants,Night Clubs,Taverns,Bar & Grills,Family Style Restaurants,Restaurants,Northern Nj,Pub",Bloomfield,US,40.806263,-74.192924,17.0,17.0,Chicken Parmesan Pizza,Town Pub,7003,Grove
